桃園機場出發 | NO_URL
抵達廣州 | NO_URL
素食晚餐 | NO_URL
飛越雪山抵達林芝 | NO_URL
哈達迎賓 | NO_URL
雅尼濕地玻璃觀景台 | NO_URL
色季拉山口 (觀南迦巴瓦) | https://www.tibet.tw/gonglue/370.html
魯朗林海 | https://www.tibet.tw/gonglue/255.html
林拉景觀大道 | NO_URL
色拉寺 (精彩辯經) | https://travel.line.me/article/4434
八廓街 | https://www.tibet.tw/gonglue/383.html
藏裝旅拍體驗 (含造型與精修) | NO_URL
布達拉宮 (含導覽耳機) | https://www.findchina.tw/2021/12/potala-palace.html
大昭寺 (覺沃佛・含導覽耳機) | https://vocus.cc/article/69776507fd89780001a57cbf
藥王山觀景台 | https://www.chinatibet.tw/jingdian/566.html
八廓街轉經道 | https://www.tibet.tw/gonglue/383.html
布達拉宮夜景 (晴天限定) | https://www.findchina.tw/2021/12/potala-palace.html
崗巴拉山口 | NO_URL
羊卓雍措 (最美聖湖) | https://www.greattibettour.com/tw/tibet-attractions/yamdroktso-lake-365
卡若拉冰川 | https://www.travel168.com.tw/blogInfo?n=35
宗山遺址 | NO_URL
加烏拉山口 (8000m雪山群) | https://www.greattibettour.com/tw/tibet-attractions/gawu-la-pass.html
絨布寺 | https://vacation.eztravel.com.tw/sight/plc0000087590/rongbuk-monastery-%E7%B5%A8%E5%B8%83%E5%AF%BA
珠峰大本營 (住宿攻略) | https://www.tibet.tw/gonglue/tibet-ebc-accommodation.html
珠峰日落 (晴天限定) | NO_URL
珠峰日出 | https://www.tibet.tw/gonglue/tibet-ebc-accommodation.html
加烏拉山口 (五座八千米群峰) | https://www.greattibettour.com/tw/tibet-attractions/gawu-la-pass.html
扎什倫布寺 (歷代班禪駐錫地) | https://www.greattibettour.com/tw/tibet-attractions/tashilhunpo-monastery-369
藏北草原風光 | NO_URL
當雄 (納木措門戶) | https://www.chinatibet.tw/jingdian/130.html
那根拉山口 (5190m) | https://www.chinatibet.tw/jingdian/namucuo.html
納木措 (天湖・含景交車) | https://www.chinatibet.tw/jingdian/130.html
文成公主實景劇 | https://www.sunnyhousetours.com/chinese/explore/detail.php?PID=412
青藏鐵路 (沿途美景) | https://www.findchina.tw/2021/12/qinghai-tibet-railway-guide.html
唐古拉山口 (5072m世界最高車站) | https://vacation.eztravel.com.tw/sight/plc0000088371/tanggula-pass-%E5%94%90%E5%8F%A4%E6%8B%89%E5%B1%B1%E5%8F%A3
可可西里 (藏羚羊) | NO_URL
青海湖遠眺 (車窗風景) | NO_URL
麒麟灣公園 | NO_URL
水井巷商圈 (伴手禮) | NO_URL
廣州白雲機場 | NO_URL
抵達桃園機場 | NO_URL
